Episode,Score,Total Reward,Time Alive,loss,Epsilon,Replay Buffer Size,Train Steps
1,0,-94.1,58,None ,0.1,59,0
2,0,-96.9,31,None ,0.1,90,0
3,0,-96.9,31,None ,0.1,121,0
4,0,-96.9,31,None ,0.1,152,0
5,0,-96.9,31,None ,0.1,183,0
6,0,-96.9,31,None ,0.1,214,0
7,0,-96.9,31,None ,0.1,245,0
8,0,-96.9,31,"tensor(408.0556, device='cuda:0', grad_fn=<MseLossBackward0>)",0.0990025,276,2
9,0,-96.9,31,"tensor(413.3183, device='cuda:0', grad_fn=<MseLossBackward0>)",0.09752487531,307,5
10,0,-96.9,31,"tensor(354.8979, device='cuda:0', grad_fn=<MseLossBackward0>)",0.09606930436,338,8
11,0,-96.9,31,"tensor(342.9152, device='cuda:0', grad_fn=<MseLossBackward0>)",0.09463545798,369,11
12,0,-96.9,31,"tensor(335.6138, device='cuda:0', grad_fn=<MseLossBackward0>)",0.09322301194,400,14
13,0,-96.9,31,"tensor(222.8499, device='cuda:0', grad_fn=<MseLossBackward0>)",0.0913724886,431,18
14,0,-92.7,73,"tensor(293.3493, device='cuda:0', grad_fn=<MseLossBackward0>)",0.08822202429,504,25
15,0,-96.8,32,"tensor(200.6796, device='cuda:0', grad_fn=<MseLossBackward0>)",0.08690529955,536,28
16,0,-96.8,32,"tensor(272.4885, device='cuda:0', grad_fn=<MseLossBackward0>)",0.0856082271,568,31
17,0,-96.9,31,"tensor(251.9521, device='cuda:0', grad_fn=<MseLossBackward0>)",0.08433051361,599,34
18,0,-96.8,32,"tensor(169.5988, device='cuda:0', grad_fn=<MseLossBackward0>)",0.0826565108,631,38
19,0,-96.9,31,"tensor(199.6838, device='cuda:0', grad_fn=<MseLossBackward0>)",0.08142285204,662,41
20,0,-96.4,36,"tensor(110.3308, device='cuda:0', grad_fn=<MseLossBackward0>)",0.0802076058,698,44
21,0,-96.9,31,"tensor(198.2620, device='cuda:0', grad_fn=<MseLossBackward0>)",0.07901049725,729,47
22,0,-96.9,31,"tensor(156.3568, device='cuda:0', grad_fn=<MseLossBackward0>)",0.07783125571,760,50
23,0,-96.9,31,"tensor(173.8911, device='cuda:0', grad_fn=<MseLossBackward0>)",0.07628626641,791,54
24,0,-90,100,"tensor(211.9938, device='cuda:0', grad_fn=<MseLossBackward0>)",0.0725566408,891,64
