Game,GA Score,DQL Score
1,17,35
2,4,16
3,4,1
4,0,0
5,1,20
6,9,20
7,29,1
8,0,0
9,13,0
10,0,0
11,0,0
12,0,0
13,71,1
14,0,0
15,2,17
16,14,6
17,0,0
18,0,0
19,0,0
20,1,6
21,9,5
22,0,0
23,0,0
24,0,0
25,14,16
26,27,2
27,0,0
28,36,4
29,0,0
30,0,0
31,0,0
32,8,3
33,0,0
34,0,0
35,0,0
36,49,1
37,0,0
38,0,0
39,0,0
40,19,0
41,0,0
42,9,2
43,0,0
44,8,11
45,16,11
46,0,0
47,0,0
48,0,0
49,11,2
50,0,0
51,17,6
52,0,0
53,0,0
54,0,0
55,36,17
56,0,0
57,12,8
58,0,0
59,43,18
60,0,0
61,8,22
62,41,1
63,0,0
64,7,1
65,0,0
66,2,6
67,29,4
68,0,0
69,4,0
70,0,0
71,40,7
72,0,0
73,10,0
74,0,0
75,44,0
76,0,0
77,2,0
78,0,0
79,8,12
80,6,10
81,21,5
82,0,0
83,11,0
84,0,0
85,29,3
86,0,0
87,22,5
88,0,0
89,18,1
90,0,0
91,4,9
92,6,19
93,5,2
94,0,0
95,8,15
96,0,6
97,13,9
98,0,0
99,10,4
100,0,0
101,8,8
102,12,0
103,0,0
104,1,0
105,0,0
106,22,42
107,6,3
108,0,0
109,1,0
110,0,0
111,8,9
112,8,5
113,0,0
114,43,8
115,0,0
116,16,5
117,0,0
118,2,5
119,6,0
120,0,0
121,6,0
122,0,0
123,2,6
124,0,7
125,5,35
126,6,9
127,1,24
128,5,45
129,4,15
130,7,1
131,0,0
132,0,12
133,8,43
134,1,0
135,0,0
136,18,80
